trade_id,pair,side,entry_time,exit_time,entry_price,exit_price,size_units,pnl_quote,pnl_usd,pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,entry_reason,exit_reason,entry_regime,exit_regime,bars_held,max_favorable_excursion_pct,max_adverse_excursion_pct,commission_paid_usd,signal_strength,equity_at_entry,strategy_scores,position_type
1,EURUSD,Long,2018-02-07 20:00:00+00:00,2018-02-14 12:00:00+00:00,1.227,1.227868355256093,8149,7.076226981900687,7.076226981900687,0.0007076226981900687,7.076226981900687,0.0007076226981900687,Range Reversion Long,Break-Even Stop,range,range,29,0.0111409942950284,-0.005264873675631729,0.0,0.7495387771425726,10000.0,"{'trend': 0.12523061142871375, 'mean_reversion': 0.7495387771425726, 'breakout': 0.12523061142871375}",Long
2,EURUSD,Long,2018-02-27 16:00:00+00:00,2018-02-28 20:00:00+00:00,1.22356,1.21915,8178,-36.064980000000205,-36.064980000000205,-0.003603947764758586,-28.988753018099516,-0.0028988753018099516,Range Reversion Long,Signal Exit,range,trend_down,7,0.0004576808656707607,-0.003906633103403189,0.0,0.8226944505013396,10007.0762269819,"{'trend': 0.0886353652259907, 'mean_reversion': 0.8226944505013396, 'breakout': 0.08867018427266969}",Long
3,EURUSD,Short,2018-02-28 20:00:00+00:00,2018-03-01 16:00:00+00:00,1.21915,1.2238745020476247,8178,-38.636977745475264,-38.636977745475264,-0.0038749307154949,-67.62573076357478,-0.006762573076357478,Trend Bearish,ATR Exit,trend_down,trend_down,5,0.0030266989295820623,-0.005479227330517179,0.0,-0.7230284460088829,9971.0112469819,"{'trend': 0.7230284460088829, 'mean_reversion': 0.17253451458948785, 'breakout': 0.10443703940162928}",Short
4,EURUSD,Short,2018-04-20 12:00:00+00:00,2018-04-20 16:00:00+00:00,1.22816,1.22812,8087,0.32347999999852783,0.32347999999852783,3.2568245137564284e-05,-67.30225076357625,-0.006730225076357625,Channel Breakout Short,Signal Exit,volatility_spike,range,1,0.00013027618551323766,-0.0015063183949975,0.0,-0.8337427234519406,9932.374269236425,"{'trend': 0.05214764971755083, 'mean_reversion': 0.11410962683050858, 'breakout': 0.8337427234519406}",Short
5,EURUSD,Long,2018-04-20 16:00:00+00:00,2018-04-23 08:00:00+00:00,1.22812,1.223820877540638,8087,-34.767003328860795,-34.767003328860795,-0.003500257856082806,-102.06925409243705,-0.010206925409243705,Range Reversion Long,ATR Exit,range,range,5,0.0009526756343027499,-0.0045761000553693285,0.0,0.796505998765713,9932.697749236424,"{'trend': 0.0541823574849917, 'mean_reversion': 0.796505998765713, 'breakout': 0.14931164374929526}",Long
6,EURUSD,Short,2018-04-24 00:00:00+00:00,2018-04-26 12:00:00+00:00,1.22131,1.2207823570177574,8104,4.276018728093256,4.276018728093256,0.00043201138074857063,-97.79323536434379,-0.009779323536434379,Trend Bearish,Break-Even Stop,trend_down,volatility_spike,15,0.009424306687081831,-0.002595573605391029,0.0,-0.6749866582185831,9897.930745907563,"{'trend': 0.6749866582185831, 'mean_reversion': 0.08800361648212085, 'breakout': 0.23700972529929598}",Short
7,EURUSD,Short,2018-04-27 00:00:00+00:00,2018-04-27 12:00:00+00:00,1.21149,1.2108865337072954,8173,4.9321300102745305,4.9321300102745305,0.0004980839248771235,-92.86110535406925,-0.009286110535406926,Trend Bearish,Break-Even Stop,trend_down,volatility_spike,3,0.004894798966561829,-0.000231120355925396,0.0,-0.7511384732880307,9902.206764635655,"{'trend': 0.7511384732880307, 'mean_reversion': 0.067228615781735, 'breakout': 0.18163291093023426}",Short
8,EURUSD,Short,2018-05-29 08:00:00+00:00,2018-05-30 04:00:00+00:00,1.15545,1.160889004547943,8574,-46.63402499406228,-46.63402499406228,-0.0047071132735672545,-139.49513034813154,-0.013949513034813154,Channel Breakout Short,ATR Exit,volatility_spike,volatility_spike,5,0.00310701458306286,-0.004967761478211827,0.0,-0.8347512255868996,9907.13889464593,"{'trend': 0.10558590490495381, 'mean_reversion': 0.05966286950814663, 'breakout': 0.8347512255868996}",Short
9,EURUSD,Short,2018-06-14 16:00:00+00:00,2018-06-21 12:00:00+00:00,1.15857,1.1576932061057,8510,7.4615160404945,7.4615160404945,0.0007567073024282106,-132.03361430763704,-0.013203361430763704,Channel Breakout Short,Break-Even Stop,volatility_spike,range,30,0.0066892807512710884,-0.005075222040964193,0.0,-0.7668119842776857,9860.504869651868,"{'trend': 0.14876044137289426, 'mean_reversion': 0.08442757434942012, 'breakout': 0.7668119842776857}",Short
10,EURUSD,Long,2018-06-27 20:00:00+00:00,2018-07-02 12:00:00+00:00,1.15629,1.1602180121846721,8534,33.52165598399163,33.52165598399163,0.0033970176502217237,-98.51195832364542,-0.009851195832364542,Range Reversion Long,Trailing Stop Exit,range,range,17,0.011009348865768888,-0.0030961091075769388,0.0,0.6940209038756137,9867.966385692363,"{'trend': 0.16162163227789567, 'mean_reversion': 0.6940209038756137, 'breakout': 0.14435746384649073}",Long
11,EURUSD,Short,2018-07-05 08:00:00+00:00,2018-07-06 12:00:00+00:00,1.17086,1.1752805062275604,8456,-37.379800660250794,-37.379800660250794,-0.0037751700050452485,-135.8917589838962,-0.013589175898389622,Range Reversion Short,ATR Exit,range,range,7,0.003125907452641645,-0.00503903113950431,0.0,-0.7434082339910661,9901.488041676355,"{'trend': 0.1355800940886761, 'mean_reversion': 0.7434082339910661, 'breakout': 0.12101167192025782}",Short
12,EURUSD,Short,2018-07-06 16:00:00+00:00,2018-07-09 08:00:00+00:00,1.17425,1.1785203214121598,8400,-35.87069986214209,-35.87069986214209,-0.0036364868456114025,-171.7624588460383,-0.01717624588460383,Range Reversion Short,ATR Exit,range,range,5,0.0003236108154141341,-0.003934426229508255,0.0,-0.711398244302494,9864.108241016103,"{'trend': 0.1524427237837699, 'mean_reversion': 0.711398244302494, 'breakout': 0.13615903191373624}",Short
13,EURUSD,Long,2018-08-02 12:00:00+00:00,2018-08-03 04:00:00+00:00,1.16121,1.1576632417798807,8463,-30.016214816870534,-30.016214816870534,-0.0030540790951768394,-201.77867366290883,-0.02017786736629088,Range Reversion Long,ATR Exit,range,range,4,0.0006458780065621449,-0.0043230767905891474,0.0,0.6962881460019474,9828.237541153962,"{'trend': 0.16042404924732706, 'mean_reversion': 0.6962881460019474, 'breakout': 0.14328780475072547}",Long
14,EURUSD,Short,2018-08-10 12:00:00+00:00,2018-08-16 04:00:00+00:00,1.13976,1.1390854432315745,8596,5.798489981386881,5.798489981386881,0.0005917900594673089,-195.98018368152194,-0.019598018368152195,Channel Breakout Short,Break-Even Stop,volatility_spike,range,23,0.008484242296623909,-0.003088369481294279,0.0,-0.791609895284946,9798.22132633709,"{'trend': 0.13600895593345144, 'mean_reversion': 0.07238114878160265, 'breakout': 0.791609895284946}",Short
15,EURUSD,Long,2018-08-21 16:00:00+00:00,2018-08-23 00:00:00+00:00,1.1569,1.1575965894137545,8474,5.902898692155636,5.902898692155636,0.0006020896329004201,-190.0772849893663,-0.01900772849893663,Channel Breakout Long,Break-Even Stop,trend_up,trend_up,8,0.004659002506698942,-0.0016768951508341712,0.0,0.7910230474852601,9804.019816318478,"{'trend': 0.136391971032159, 'mean_reversion': 0.07258498148258093, 'breakout': 0.7910230474852601}",Long
16,EURUSD,Long,2018-08-24 16:00:00+00:00,2018-08-29 04:00:00+00:00,1.16267,1.166723933123187,8437,34.20303376032706,34.20303376032706,0.003486575251810226,-155.87425122903923,-0.015587425122903923,Trend Bullish,Trailing Stop Exit,trend_up,trend_up,16,0.009177152588438642,-0.0027866892583451293,0.0,0.8035941610525381,9809.922715010634,"{'trend': 0.8035941610525381, 'mean_reversion': 0.06239955104419028, 'breakout': 0.13400628790327157}",Long
17,EURUSD,Short,2018-09-13 16:00:00+00:00,2018-09-17 12:00:00+00:00,1.16887,1.1682394643498857,8421,5.309740709613315,5.309740709613315,0.0005393816419173878,-150.5645105194259,-0.015056451051942591,Range Reversion Short,Break-Even Stop,range,range,12,0.006048576830614295,-0.002806128996381077,0.0,-0.6746166737630245,9844.12574877096,"{'trend': 0.1727813523765269, 'mean_reversion': 0.6746166737630245, 'breakout': 0.15260197386044866}",Short
18,EURUSD,Long,2018-09-20 16:00:00+00:00,2018-09-24 04:00:00+00:00,1.17782,1.1728864298383126,8362,-41.254513692030834,-41.254513692030834,-0.004188515548539976,-191.81902421145674,-0.019181902421145675,Channel Breakout Long,ATR Exit,volatility_spike,range,10,0.002080114109116708,-0.0045932315633969,0.0,0.7655173361478097,9849.435489480575,"{'trend': 0.15376539033577372, 'mean_reversion': 0.08071727351641665, 'breakout': 0.7655173361478097}",Long
19,EURUSD,Long,2018-11-07 08:00:00+00:00,2018-11-07 20:00:00+00:00,1.149,1.1441079531015181,8536,-41.75851232544136,-41.75851232544136,-0.004257518537690331,-233.5775365368981,-0.02335775365368981,Channel Breakout Long,ATR Exit,volatility_spike,volatility_spike,3,0.00013925152306347953,-0.0057006092254134515,0.0,0.7500335707034408,9808.180975788544,"{'trend': 0.16381317238738216, 'mean_reversion': 0.08615325690917705, 'breakout': 0.7500335707034408}",Long
20,EURUSD,Long,2018-11-16 12:00:00+00:00,2018-11-20 12:00:00+00:00,1.13947,1.1402785023115212,8571,6.929673312048089,6.929673312048089,0.0007095406058843451,-226.64786322485,-0.022664786322485,Channel Breakout Long,Break-Even Stop,volatility_spike,trend_up,13,0.006810183681887184,-0.0009478090691286035,0.0,0.7379819756133696,9766.422463463103,"{'trend': 0.1717110730358351, 'mean_reversion': 0.0903069513507953, 'breakout': 0.7379819756133696}",Long
21,EURUSD,Short,2019-01-09 20:00:00+00:00,2019-01-15 16:00:00+00:00,1.15541,1.1383332511853146,8458,144.43514147460962,144.43514147460962,0.014778464896514817,-82.21272175024038,-0.008221272175024037,Range Reversion Short,ATR Take Profit,range,range,24,0.014903800382548196,-0.0013501700694991438,0.0,-0.7017799703509011,9773.35213677515,"{'trend': 0.1728782047596964, 'mean_reversion': 0.7017799703509011, 'breakout': 0.12534182488940251}",Short
