,All,Long,Short
Total trades,18,8,10
Total open trades,0,0,0
Winning trades,6,3,3
Losing trades,12,5,7
Percent profitable,33.33%,37.50%,30.00%
Avg P&L,-11.62 USD (-0.12%),-4.75 USD (-0.05%),-17.11 USD (-0.17%)
Avg winning trade,24.80 USD (0.25%),36.67 USD (0.37%),12.93 USD (0.13%)
Avg losing trade,-29.83 USD (-0.30%),-29.61 USD (-0.30%),-29.99 USD (-0.30%)
Ratio avg win / avg loss,0.831,1.238,0.431
Largest winning trade,82.35 USD (0.82%),82.35 USD (0.82%),30.96 USD (0.31%)
Largest losing trade,-36.46 USD (-0.36%),-34.95 USD (-0.35%),-36.46 USD (-0.36%)
Average number of bars in trades,8.11,7.12,8.90
