trade_id,pair,side,entry_time,exit_time,entry_price,exit_price,size_units,pnl_quote,pnl_usd,pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,entry_reason,exit_reason,entry_regime,exit_regime,bars_held,max_favorable_excursion_pct,max_adverse_excursion_pct,commission_paid_usd,signal_strength,equity_at_entry,strategy_scores,position_type
1,EURUSD,Long,2019-06-07 00:00:00+00:00,2019-06-14 00:00:00+00:00,1.13334,1.1252464991231512,8823,-71.40895823643689,-71.40895823643689,-0.007140895823643688,-71.40895823643689,-0.007140895823643688,Channel Breakout Long,ATR Exit,volatility_spike,range,6,0.0008823477508954858,-0.011558755536732235,0.0,0.7502928437279458,10000.0,"{'trend': 0.1248535781360271, 'mean_reversion': 0.1248535781360271, 'breakout': 0.7502928437279458}",Long
2,EURUSD,Long,2019-06-21 00:00:00+00:00,2019-07-01 00:00:00+00:00,1.13679,1.128403206952922,8733,-73.24186368013227,-73.24186368013227,-0.0073768637837985426,-144.65082191656916,-0.014465082191656915,Channel Breakout Long,ATR Exit,volatility_spike,range,8,0.003870547770476482,-0.007723502141996332,0.0,0.6284915229525444,9928.591041763562,"{'trend': 0.18575423852372777, 'mean_reversion': 0.18575423852372777, 'breakout': 0.6284915229525444}",Long
3,EURUSD,Long,2019-07-26 00:00:00+00:00,2019-08-01 00:00:00+00:00,1.11247,1.1057558626986388,8858,-59.473828215458205,-59.473828215458205,-0.006034674889827098,-204.12465013202737,-0.020412465013202735,Range Reversion Long,ATR Exit,range,range,5,0.0033528994040288823,-0.00880023730977012,0.0,0.8193593884762945,9855.34917808343,"{'trend': 0.13420871034998852, 'mean_reversion': 0.8193593884762945, 'breakout': 0.04643190117371692}",Long
4,EURUSD,Long,2020-01-26 00:00:00+00:00,2020-02-05 00:00:00+00:00,1.10245,1.1031999575766143,8885,6.663373068218368,6.663373068218368,0.0006802223211535838,-197.461277063809,-0.0197461277063809,Range Reversion Long,Break-Even Stop,range,range,9,0.006431130663522192,-0.0029207673817406694,0.0,0.7181993917525591,9795.875349867973,"{'trend': 0.2092916666422621, 'mean_reversion': 0.7181993917525591, 'breakout': 0.07250894160517875}",Long
5,EURUSD,Long,2020-03-05 00:00:00+00:00,2020-03-10 00:00:00+00:00,1.12224,1.132999805333187,8734,93.97613978005516,93.97613978005516,0.009586918494916809,-103.48513728375384,-0.010348513728375384,Channel Breakout Long,Trailing Stop Exit,volatility_spike,volatility_spike,4,0.024326347305389316,-0.0009980039920159769,0.0,0.6666142651313078,9802.538722936191,"{'trend': 0.17638545053633448, 'mean_reversion': 0.15700028433235771, 'breakout': 0.6666142651313078}",Long
6,EURUSD,Short,2020-03-19 00:00:00+00:00,2020-03-24 00:00:00+00:00,1.06544,1.0866574207221933,4664,-98.95805024830977,-98.95805024830977,-0.009999282739534963,-202.44318753206363,-0.020244318753206363,Channel Breakout Short,ATR Exit,volatility_spike,volatility_spike,4,0.0017551434149272022,-0.02191582820243278,0.0,-0.7597715405453761,9896.514862716245,"{'trend': 0.1270792336076054, 'mean_reversion': 0.11314922584701853, 'breakout': 0.7597715405453761}",Short
7,EURUSD,Short,2020-05-31 00:00:00+00:00,2020-06-03 00:00:00+00:00,1.11156,1.1218804095773813,8814,-90.96409001503815,-90.96409001503815,-0.00928436463867005,-293.4072775471018,-0.029340727754710177,Range Reversion Short,ATR Exit,range,range,3,0.0013674475511894883,-0.012783835330526317,0.0,-0.7747210069804672,9797.556812467936,"{'trend': 0.13653911622984502, 'mean_reversion': 0.7747210069804672, 'breakout': 0.0887398767896878}",Short
8,EURUSD,Long,2021-03-07 00:00:00+00:00,2021-03-24 00:00:00+00:00,1.19263,1.1830463703924323,8138,-77.9915777463864,-77.9915777463864,-0.00803490781744447,-371.39885529348817,-0.03713988552934882,Range Reversion Long,ATR Exit,range,range,15,0.005332751985108475,-0.009843790614021183,0.0,0.7453283104236555,9706.592722452899,"{'trend': 0.1544058128359971, 'mean_reversion': 0.7453283104236555, 'breakout': 0.10026587674034743}",Long
9,EURUSD,Short,2021-06-18 00:00:00+00:00,2021-06-20 00:00:00+00:00,1.18592,1.18705,8119,-9.17446999999881,-9.17446999999881,-0.0009528351898803733,-380.57332529348696,-0.038057332529348696,Channel Breakout Short,Signal Exit,volatility_spike,range,1,0.0004216135995684084,-0.0013660280626011491,0.0,-0.7319782183045981,9628.601144706512,"{'trend': 0.16624882665207275, 'mean_reversion': 0.10177295504332921, 'breakout': 0.7319782183045981}",Short
10,EURUSD,Long,2021-06-20 00:00:00+00:00,2021-06-29 00:00:00+00:00,1.18705,1.1882617986436037,8103,9.819204409121328,9.819204409121328,0.0010207681539836583,-370.75412088436565,-0.037075412088436566,Range Reversion Long,Break-Even Stop,range,range,8,0.008811760245988069,-0.001929152099742979,0.0,0.7408141572044696,9619.426674706512,"{'trend': 0.15717507077330684, 'mean_reversion': 0.7408141572044696, 'breakout': 0.1020107720222235}",Long
11,EURUSD,Short,2021-07-05 00:00:00+00:00,2021-07-08 00:00:00+00:00,1.18624,1.1852184899756086,8117,8.291596867984389,8.291596867984389,0.0008610847590845714,-362.4625240163813,-0.036246252401638125,Trend Bearish,Break-Even Stop,trend_down,range,3,0.00681986781764224,-0.002756609117885172,0.0,-0.8290735347133391,9629.245879115635,"{'trend': 0.8290735347133391, 'mean_reversion': 0.09641045140765349, 'breakout': 0.07451601387900744}",Short
12,EURUSD,Short,2021-11-10 00:00:00+00:00,2021-11-24 00:00:00+00:00,1.14856,1.1209428086421223,8390,231.70823549259447,231.70823549259447,0.024042265575620603,-130.7542885237868,-0.013075428852378682,Channel Breakout Short,ATR Take Profit,volatility_spike,range,12,0.02609354321933556,-0.00016542453158730275,0.0,-0.6500779610657356,9637.53747598362,"{'trend': 0.23825955732692874, 'mean_reversion': 0.1116624816073356, 'breakout': 0.6500779610657356}",Short
13,EURUSD,Short,2022-03-04 00:00:00+00:00,2022-03-09 00:00:00+00:00,1.09311,1.1071768201896148,7015,-98.67874363014785,-98.67874363014785,-0.009998610483008005,-229.43303215393468,-0.02294330321539347,Channel Breakout Short,ATR Exit,volatility_spike,volatility_spike,4,0.01145355911115998,-0.015003064650401122,0.0,-0.7105737071537781,9869.245711476213,"{'trend': 0.19700180776186144, 'mean_reversion': 0.09242448508436053, 'breakout': 0.7105737071537781}",Short
14,EURUSD,Long,2022-11-11 00:00:00+00:00,2023-02-01 00:00:00+00:00,1.03538,1.0993200529106881,5093,325.6466894741348,325.6466894741348,0.033329354432122996,96.21365732020013,0.009621365732020012,Channel Breakout Long,ATR Take Profit,volatility_spike,range,70,0.06557012884158474,-0.012662017809886182,0.0,0.6718585275349929,9770.566967846065,"{'trend': 0.22335380328280124, 'mean_reversion': 0.10478766918220592, 'breakout': 0.6718585275349929}",Long
15,EURUSD,Short,2023-07-16 00:00:00+00:00,2023-07-27 00:00:00+00:00,1.12273,1.1143083881336349,8992,75.72713390235535,75.72713390235535,0.007500547875930679,171.94079122255548,0.017194079122255547,Range Reversion Short,Trailing Stop Exit,range,volatility_spike,10,0.023291441397308252,-0.004302013841261826,0.0,-0.6813165879745218,10096.2136573202,"{'trend': 0.2081347629197492, 'mean_reversion': 0.6813165879745218, 'breakout': 0.11054864910572905}",Short
16,EURUSD,Short,2023-08-25 00:00:00+00:00,2023-08-29 00:00:00+00:00,1.07906,1.088621478583379,9426,-90.1264971269312,-90.1264971269312,-0.008860304928701712,81.81429409562428,0.008181429409562428,Trend Bearish,ATR Exit,trend_down,range,3,0.0007784553222248549,-0.009387800493021885,0.0,-0.8432463032823974,10171.940791222556,"{'trend': 0.8432463032823974, 'mean_reversion': 0.07999202913896719, 'breakout': 0.07676166757863538}",Short
17,EURUSD,Long,2023-11-03 00:00:00+00:00,2023-12-01 00:00:00+00:00,1.07295,1.0866516830179045,9396,128.74101363622992,128.74101363622992,0.01276962755717754,210.5553077318542,0.02105553077318542,Channel Breakout Long,Trailing Stop Exit,volatility_spike,range,24,0.026031035928980855,-0.006850272612889666,0.0,0.7681029186947228,10081.814294095624,"{'trend': 0.10621339836509967, 'mean_reversion': 0.12568368294017765, 'breakout': 0.7681029186947228}",Long
18,EURUSD,Long,2024-04-14 00:00:00+00:00,2024-05-01 00:00:00+00:00,1.0646,1.0656609099402343,9590,10.17412632684726,10.17412632684726,0.0009964322233427393,220.7294340587015,0.022072943405870148,Range Reversion Long,Break-Even Stop,range,range,15,0.010022543678376815,-0.004226939695660293,0.0,0.7728021090072188,10210.555307731855,"{'trend': 0.10051749086147016, 'mean_reversion': 0.7728021090072188, 'breakout': 0.126680400131311}",Long
19,EURUSD,Long,2024-08-23 00:00:00+00:00,2024-08-28 00:00:00+00:00,1.1191,1.110702290909941,9132,-76.6878794104177,-76.6878794104177,-0.0075031708749543295,144.0415546482838,0.01440415546482838,Channel Breakout Long,ATR Exit,volatility_spike,range,4,0.0009382539540702309,-0.007684746671432348,0.0,0.7672924932312878,10220.729434058701,"{'trend': 0.10173755126727221, 'mean_reversion': 0.13096995550143994, 'breakout': 0.7672924932312878}",Long
20,EURUSD,Short,2024-10-04 00:00:00+00:00,2024-10-31 00:00:00+00:00,1.09739,1.088504805637285,9243,82.12585149457534,82.12585149457534,0.00809596954548584,226.16740614285914,0.022616740614285914,Channel Breakout Short,Trailing Stop Exit,volatility_spike,trend_down,23,0.019382352673160973,-0.0021141071086850415,0.0,-0.7624435147537821,10144.041554648284,"{'trend': 0.10383754523354947, 'mean_reversion': 0.13371894001266837, 'breakout': 0.7624435147537821}",Short
21,EURUSD,Short,2024-11-11 00:00:00+00:00,2024-11-24 00:00:00+00:00,1.06631,1.0492462873931234,9590,163.64100389994726,163.64100389994726,0.016002183164109764,389.8084100428064,0.03898084100428064,Channel Breakout Short,Trailing Stop Exit,volatility_spike,volatility_spike,11,0.0310041170016225,0.0,0.0,-0.7757972732224088,10226.167406142858,"{'trend': 0.09805791369760238, 'mean_reversion': 0.1261448130799889, 'breakout': 0.7757972732224088}",Short
