trade_id,pair,side,entry_time,exit_time,entry_price,exit_price,size_units,pnl_quote,pnl_usd,pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,entry_reason,exit_reason,entry_regime,exit_regime,bars_held,max_favorable_excursion_pct,max_adverse_excursion_pct,commission_paid_usd,signal_strength,equity_at_entry,strategy_scores,position_type
1,GBPUSD,Short,2024-03-19 04:00:00+00:00,2024-03-20 16:00:00+00:00,1.2696895179999999,1.2744433078465345,7874,-37.43134125161367,-37.43134125161367,-0.0037431341251613665,-37.43134125161367,-0.0037431341251613665,Trend Bearish,ATR Exit,trend_down,trend_up,9,0.0023230230368806383,-0.007049347004217884,0.0,-0.7608058795238926,10000.0,"{'trend': 0.7608058795238926, 'mean_reversion': 0.11959706023805372, 'breakout': 0.11959706023805372}",Short
2,GBPUSD,Short,2024-03-21 16:00:00+00:00,2024-03-25 12:00:00+00:00,1.2648802394999998,1.2644752707815048,7875,3.1891286581484932,3.1891286581484932,0.00032011108453923053,-34.242212593465176,-0.0034242212593465176,Channel Breakout Short,Break-Even Stop,volatility_spike,range,12,0.005850545584398709,-0.002079058884689042,0.0,-0.8203002082112417,9962.568658748387,"{'trend': 0.04791335459682155, 'mean_reversion': 0.13178643719193675, 'breakout': 0.8203002082112417}",Short
3,GBPUSD,Long,2024-04-01 16:00:00+00:00,2024-04-05 00:00:00+00:00,1.2549082080000002,1.2631732640180036,7942,65.64107489498232,65.64107489498232,0.006586661676438817,31.39886230151715,0.0031398862301517147,Range Reversion Long,Trailing Stop Exit,range,range,20,0.01069543725543925,-0.0007954430400858186,0.0,0.7706100258163073,9965.757787406535,"{'trend': 0.041468075832652114, 'mean_reversion': 0.7706100258163073, 'breakout': 0.18792189835104053}",Long
4,GBPUSD,Short,2024-04-12 08:00:00+00:00,2024-04-16 12:00:00+00:00,1.246892938,1.246420504392631,8043,3.799783504068282,3.799783504068282,0.0003787889960539853,35.19864580558543,0.003519864580558543,Channel Breakout Short,Break-Even Stop,volatility_spike,range,14,0.004870456648620438,-0.002355504558964781,0.0,-0.8138016498852279,10031.398862301518,"{'trend': 0.033128141355488944, 'mean_reversion': 0.15307020875928318, 'breakout': 0.8138016498852279}",Short
5,GBPUSD,Short,2024-05-14 16:00:00+00:00,2024-05-15 12:00:00+00:00,1.258791153,1.2645859703903901,7970,-46.184694601409234,-46.184694601409234,-0.004602270092651635,-10.986048795823805,-0.0010986048795823804,Range Reversion Short,ATR Exit,range,range,5,0.00038223417669662983,-0.006735705903074376,0.0,-0.8192436550063894,10035.198645805585,"{'trend': 0.03263808394330132, 'mean_reversion': 0.8192436550063894, 'breakout': 0.14811826105030923}",Short
6,GBPUSD,Short,2024-05-16 00:00:00+00:00,2024-05-17 12:00:00+00:00,1.268969626,1.268659076431579,7870,2.444025103473473,2.444025103473473,0.0002446713074395942,-8.542023692350332,-0.0008542023692350333,RSI Overbought Short,Break-Even Stop,range,range,9,0.0036640955817487486,-0.0014424096231282504,0.0,-0.7808292401146255,9989.013951204177,"{'trend': 0.03956272964375642, 'mean_reversion': 0.7808292401146255, 'breakout': 0.17960803024161806}",Short
7,GBPUSD,Long,2024-06-03 16:00:00+00:00,2024-06-07 12:00:00+00:00,1.2801819985,1.2738934938373894,7805,-49.08177889167621,-49.08177889167621,-0.004912374050720315,-57.62380258402654,-0.005762380258402654,Channel Breakout Long,ATR Exit,volatility_spike,range,23,0.0011935814609096583,-0.006727167316905479,0.0,0.8500679003236066,9991.457976307649,"{'trend': 0.03581786909343554, 'mean_reversion': 0.1141142305829579, 'breakout': 0.8500679003236066}",Long
8,GBPUSD,Long,2024-07-15 00:00:00+00:00,2024-07-18 08:00:00+00:00,1.2975846085000002,1.2978488594734394,7663,2.0249552094644674,2.0249552094644674,0.00020366913997790125,-55.59884737456208,-0.005559884737456207,Trend Bullish,Break-Even Stop,trend_up,range,20,0.005275487590680482,-0.002916656436280605,0.0,0.6890003120153494,9942.376197415973,"{'trend': 0.6890003120153494, 'mean_reversion': 0.16996422980666992, 'breakout': 0.14103545817798074}",Long
9,GBPUSD,Short,2024-07-25 16:00:00+00:00,2024-07-29 12:00:00+00:00,1.285067211,1.284776866925126,7737,2.2463921073005197,2.2463921073005197,0.00022589516179236655,-53.352455267261554,-0.0053352455267261555,Channel Breakout Short,Break-Even Stop,trend_down,volatility_spike,12,0.003445120194573307,-0.002889178844669735,0.0,-0.76036059066315,9944.401152625438,"{'trend': 0.08367206993154584, 'mean_reversion': 0.15596733940530413, 'breakout': 0.76036059066315}",Short
10,GBPUSD,Short,2024-08-01 16:00:00+00:00,2024-08-02 12:00:00+00:00,1.2739988715,1.281349607500141,7806,-57.37984521710082,-57.37984521710082,-0.005768762284885262,-110.73230048436238,-0.011073230048436238,Channel Breakout Short,ATR Exit,volatility_spike,volatility_spike,5,0.002581534076343098,-0.00785018630999637,0.0,-0.7541895312874956,9946.64754473274,"{'trend': 0.10683068187268807, 'mean_reversion': 0.13897978683981638, 'breakout': 0.7541895312874956}",Short
