,All,Long,Short
Total trades,17,5,12
Total open trades,0,0,0
Winning trades,10,2,8
Losing trades,7,3,4
Percent profitable,58.82%,40.00%,66.67%
Avg P&L,-19.12 USD (-0.19%),-56.17 USD (-0.56%),-3.69 USD (-0.04%)
Avg winning trade,37.05 USD (0.37%),9.00 USD (0.09%),44.06 USD (0.45%)
Avg losing trade,-99.37 USD (-1.00%),-99.61 USD (-1.00%),-99.19 USD (-1.00%)
Ratio avg win / avg loss,0.373,0.090,0.444
Largest winning trade,94.62 USD (0.97%),9.00 USD (0.09%),94.62 USD (0.97%)
Largest losing trade,-101.07 USD (-1.00%),-101.07 USD (-1.00%),-100.04 USD (-1.00%)
Average number of bars in trades,12.00,11.60,12.17
