trade_id,pair,side,entry_time,exit_time,entry_price,exit_price,size_units,pnl_quote,pnl_usd,pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,entry_reason,exit_reason,entry_regime,exit_regime,bars_held,max_favorable_excursion_pct,max_adverse_excursion_pct,commission_paid_usd,signal_strength,equity_at_entry,strategy_scores,position_type
1,GBPUSD,Short,2018-05-30 00:00:00+00:00,2018-06-07 00:00:00+00:00,1.32838,1.3464003080243936,5549,-99.99468922736061,-99.99468922736061,-0.00999946892273606,-99.99468922736061,-0.00999946892273606,Trend Bearish,ATR Exit,trend_down,trend_down,7,0.0022583899185473224,-0.01418268868847784,0.0,-0.7780664524535,10000.0,"{'trend': 0.7780664524535, 'mean_reversion': 0.11096677377324997, 'breakout': 0.11096677377324997}",Short
2,GBPUSD,Short,2018-06-19 00:00:00+00:00,2018-07-09 00:00:00+00:00,1.31728,1.3355420493295598,5421,-98.99856941554351,-98.99856941554351,-0.009999850132183134,-198.99325864290412,-0.019899325864290413,Trend Bearish,ATR Exit,trend_down,range,17,0.009360196769099927,-0.014400886675573857,0.0,-0.6739125176470561,9900.00531077264,"{'trend': 0.6739125176470561, 'mean_reversion': 0.163043741176472, 'breakout': 0.163043741176472}",Short
3,GBPUSD,Short,2019-01-27 00:00:00+00:00,2019-02-19 00:00:00+00:00,1.32073,1.2983447962128303,4227,94.62225640836625,94.62225640836625,0.009654340508622523,-104.37100223453787,-0.010437100223453786,Range Reversion Short,Trailing Stop Exit,range,range,20,0.032906044384544954,-0.00011357355401943964,0.0,-0.821089136746123,9801.006741357096,"{'trend': 0.04475567305996586, 'mean_reversion': 0.821089136746123, 'breakout': 0.1341551901939111}",Short
4,GBPUSD,Long,2019-09-05 00:00:00+00:00,2019-09-26 00:00:00+00:00,1.23241,1.2343587183300093,4616,8.995283811322992,8.995283811322992,0.0009090158708813985,-95.37571842321488,-0.009537571842321488,Channel Breakout Long,Break-Even Stop,volatility_spike,range,18,0.020934591572609802,-0.007392020512654029,0.0,0.7489428172041086,9895.628997765461,"{'trend': 0.041243879379992666, 'mean_reversion': 0.2098133034158988, 'breakout': 0.7489428172041086}",Long
5,GBPUSD,Long,2019-10-15 00:00:00+00:00,2019-11-08 00:00:00+00:00,1.27592,1.278242098191367,3877,9.002774687929753,9.002774687929753,0.0009089466124096671,-86.37294373528512,-0.008637294373528512,Channel Breakout Long,Break-Even Stop,volatility_spike,range,21,0.019813154429744788,-0.008119631324847894,0.0,0.8126318553867906,9904.624281576786,"{'trend': 0.030780992083237434, 'mean_reversion': 0.1565871525299719, 'breakout': 0.8126318553867906}",Long
6,GBPUSD,Short,2020-03-17 00:00:00+00:00,2020-03-20 00:00:00+00:00,1.21152,1.1824541225503797,2877,83.62252942255729,83.62252942255729,0.008435109465784648,-2.750414312727827,-0.0002750414312727827,Channel Breakout Short,Trailing Stop Exit,volatility_spike,volatility_spike,3,0.058249141574220835,-0.0011720813523507468,0.0,-0.8189627638151951,9913.627056264715,"{'trend': 0.02974094526729281, 'mean_reversion': 0.151296290917512, 'breakout': 0.8189627638151951}",Short
7,GBPUSD,Short,2020-09-08 00:00:00+00:00,2020-09-16 00:00:00+00:00,1.29641,1.294192351251568,4098,9.087924571074334,9.087924571074334,0.0009090424814526198,6.337510258346507,0.0006337510258346507,Channel Breakout Short,Break-Even Stop,volatility_spike,range,7,0.015581490423554273,-0.005445808039123305,0.0,-0.8080933729045741,9997.249585687272,"{'trend': 0.03152657769835578, 'mean_reversion': 0.16038004939707023, 'breakout': 0.8080933729045741}",Short
8,GBPUSD,Short,2021-02-24 00:00:00+00:00,2021-03-11 00:00:00+00:00,1.41461,1.3975694082795098,5374,91.57613990591383,91.57613990591383,0.00915181401906855,97.91365016426035,0.009791365016426034,RSI Overbought Short,Trailing Stop Exit,range,range,13,0.02599302988102726,-0.002537801938343418,0.0,-0.8339639568372338,10006.337510258347,"{'trend': 0.027733921774659172, 'mean_reversion': 0.8339639568372338, 'breakout': 0.13830212138810694}",Short
9,GBPUSD,Short,2022-03-04 00:00:00+00:00,2022-03-17 00:00:00+00:00,1.32249,1.320577819468656,4800,9.178466550451247,9.178466550451247,0.0009089468249019879,107.0921167147116,0.01070921167147116,Channel Breakout Short,Break-Even Stop,volatility_spike,trend_down,11,0.017005799665781897,-0.0012854539542832347,0.0,-0.8138244912891659,10097.91365016426,"{'trend': 0.03060150789344249, 'mean_reversion': 0.1555740008173916, 'breakout': 0.8138244912891659}",Short
10,GBPUSD,Long,2022-04-24 00:00:00+00:00,2022-04-26 00:00:00+00:00,1.28278,1.2659992068313937,6023,-101.07071725451615,-101.07071725451615,-0.009999979824797419,6.02139946019544,0.000602139946019544,Range Reversion Long,ATR Exit,range,range,2,0.0001325246729758832,-0.020899920485196215,0.0,0.8317396146750652,10107.092116714712,"{'trend': 0.027521820529038055, 'mean_reversion': 0.8317396146750652, 'breakout': 0.1407385647958968}",Long
