,All,Long,Short
Total trades,26,7,19
Total open trades,0,0,0
Winning trades,10,4,6
Losing trades,16,3,13
Percent profitable,38.46%,57.14%,31.58%
Avg P&L,-16.79 USD (-0.17%),-7.28 USD (-0.07%),-20.29 USD (-0.21%)
Avg winning trade,17.62 USD (0.18%),9.50 USD (0.10%),23.04 USD (0.24%)
Avg losing trade,-38.30 USD (-0.39%),-29.66 USD (-0.31%),-40.29 USD (-0.41%)
Ratio avg win / avg loss,0.460,0.320,0.572
Largest winning trade,69.92 USD (0.73%),26.12 USD (0.27%),69.92 USD (0.73%)
Largest losing trade,-51.63 USD (-0.52%),-36.69 USD (-0.38%),-51.63 USD (-0.52%)
Average number of bars in trades,7.46,7.71,7.37
