trade_id,pair,side,entry_time,exit_time,entry_price,exit_price,size_units,pnl_quote,pnl_usd,pnl_pct,cumulative_pnl_usd,cumulative_pnl_pct,entry_reason,exit_reason,entry_regime,exit_regime,bars_held,max_favorable_excursion_pct,max_adverse_excursion_pct,commission_paid_usd,signal_strength,equity_at_entry,strategy_scores,position_type
1,USDJPY,Long,2018-03-23 00:00:00+00:00,2018-04-23 00:00:00+00:00,104.721,108.41676694811,9445,34906.51882489887,320.91456280015876,0.032091456280015876,320.91456280015876,0.032091456280015876,Range Reversion Long,ATR Take Profit,range,range,26,0.038846076718136745,-0.0008689756591324394,0.0,0.7679298186066991,10000.0,"{'trend': 0.1160350906966505, 'mean_reversion': 0.7679298186066991, 'breakout': 0.1160350906966505}",Long
2,USDJPY,Long,2018-12-23 00:00:00+00:00,2018-12-25 00:00:00+00:00,111.076,110.19328108928337,10320,-9109.65915859551,-82.48962419721742,-0.007992472342958456,238.42493860294132,0.023842493860294134,Range Reversion Long,ATR Exit,range,range,2,0.0007112247470201279,-0.009696063956210147,0.0,0.8203511265874992,10320.914562800159,"{'trend': 0.08982443670625036, 'mean_reversion': 0.8203511265874992, 'breakout': 0.08982443670625036}",Long
3,USDJPY,Short,2018-12-31 00:00:00+00:00,2019-01-02 00:00:00+00:00,109.556,106.33273984474121,10238,32999.73746953944,307.1829006631428,0.030002945033560866,545.607839266084,0.0545607839266084,Channel Breakout Short,ATR Take Profit,volatility_spike,volatility_spike,2,0.04399576472306394,-0.0015517178429296588,0.0,-0.7372547744391122,10238.42493860294,"{'trend': 0.1213735924138409, 'mean_reversion': 0.14137163314704684, 'breakout': 0.7372547744391122}",Short
4,USDJPY,Long,2019-02-28 00:00:00+00:00,2019-03-08 00:00:00+00:00,111.363,111.46181532326742,10545,1042.007583854907,9.374281045151921,0.0008889275220577821,554.982120311236,0.0554982120311236,Trend Bullish,Break-Even Stop,trend_up,trend_up,7,0.006950243797311503,-0.0052530912421539806,0.0,0.6998296956656328,10545.607839266084,"{'trend': 0.6998296956656328, 'mean_reversion': 0.12012551712081564, 'breakout': 0.1800447872135517}",Long
5,USDJPY,Short,2019-08-02 00:00:00+00:00,2019-08-06 00:00:00+00:00,106.55,106.43000265350985,10554,1266.4519948570623,11.911140323132493,0.0011284851255419527,566.8932606343685,0.05668932606343685,Channel Breakout Short,Break-Even Stop,volatility_spike,volatility_spike,3,0.009676208352885891,-0.005039887376818453,0.0,-0.7689183235571143,10554.982120311237,"{'trend': 0.13553821783028858, 'mean_reversion': 0.09554345861259718, 'breakout': 0.7689183235571143}",Short
6,USDJPY,Short,2020-03-03 00:00:00+00:00,2020-03-09 00:00:00+00:00,107.068,102.89816649189423,9044,37711.974247308564,365.8479666214779,0.03462209351393739,932.7412272558464,0.09327412272558464,Channel Breakout Short,ATR Take Profit,volatility_spike,volatility_spike,5,0.05499308850450173,-0.006295064818620004,0.0,-0.7699032467257415,10566.893260634368,"{'trend': 0.13496977192344742, 'mean_reversion': 0.09512698135081106, 'breakout': 0.7699032467257415}",Short
7,USDJPY,Long,2020-03-19 00:00:00+00:00,2020-03-27 00:00:00+00:00,111.311,108.60140328378607,4491,-12168.798852516793,-112.77848797513245,-0.010315664263045967,819.962739280714,0.0819962739280714,Channel Breakout Long,ATR Exit,volatility_spike,range,7,0.0036115029062714988,-0.031946528195775904,0.0,0.7695558434187323,10932.741227255847,"{'trend': 0.1351550131611196, 'mean_reversion': 0.09528914342014812, 'breakout': 0.7695558434187323}",Long
8,USDJPY,Long,2020-09-20 00:00:00+00:00,2020-10-21 00:00:00+00:00,104.534,104.63396696896505,10819,1081.5426372328636,10.3317950462153,0.0009548826826091393,830.2945343269294,0.08302945343269294,Range Reversion Long,Break-Even Stop,range,range,27,0.015047735664951052,-0.005117952053877311,0.0,0.6851895372245836,10819.962739280714,"{'trend': 0.1682891894253762, 'mean_reversion': 0.6851895372245836, 'breakout': 0.14652127335004014}",Long
9,USDJPY,Short,2021-01-31 00:00:00+00:00,2021-02-04 00:00:00+00:00,104.717,105.3205248342134,10830,-6536.173954531149,-61.91024347176083,-0.005716395179792621,768.3842908551685,0.07683842908551684,Range Reversion Short,ATR Exit,range,range,4,0.0010409007133511717,-0.008852430837399913,0.0,-0.7175702473036372,10830.29453432693,"{'trend': 0.15101086667395588, 'mean_reversion': 0.7175702473036372, 'breakout': 0.13141888602240692}",Short
10,USDJPY,Long,2021-03-05 00:00:00+00:00,2021-03-10 00:00:00+00:00,108.329,108.43716076847079,10768,1164.6751548935329,10.739282202798828,0.0009972974508273209,779.1235730579673,0.07791235730579672,Channel Breakout Long,Break-Even Stop,volatility_spike,volatility_spike,4,0.008344949182582787,-0.0001938539080023501,0.0,0.7352259796877205,10768.384290855169,"{'trend': 0.1591874688626422, 'mean_reversion': 0.10558655144963726, 'breakout': 0.7352259796877205}",Long
