,All,Long,Short
Total trades,0,0,0
Total open trades,0,0,0
Winning trades,0,0,0
Losing trades,0,0,0
Percent profitable,0.00%,0.00%,0.00%
Avg P&L,0.00 USD (0.00%),0.00 USD (0.00%),0.00 USD (0.00%)
Avg winning trade,0.00 USD (0.00%),0.00 USD (0.00%),0.00 USD (0.00%)
Avg losing trade,0.00 USD (0.00%),0.00 USD (0.00%),0.00 USD (0.00%)
Ratio avg win / avg loss,0.000,0.000,0.000
Largest winning trade,0.00 USD (0.00%),0.00 USD (0.00%),0.00 USD (0.00%)
Largest losing trade,0.00 USD (0.00%),0.00 USD (0.00%),0.00 USD (0.00%)
Average number of bars in trades,0.00,0.00,0.00
